Gradiente;Código CBO;Título da Família Ocupacional;Correlato ISCO-08;codigo_cbo_4;total_vinculos_ativos
Gradiente 1;2133;Físicos e Profissionais das ciências atmosféricas/espaciais;2111 / 2112 - Physicists / Meteorologists;2133;341
0;3762;;;3762;320
0;8422;;;8422;306
0;7501;;;7501;274
0;3012;;;3012;272
0;7602;;;7602;263
0;6310;;;6310;261
0;1011;;;1011;254
0;1130;;;1130;246
0;3761;;;3761;245
Gradiente 2;2542;Auditor fiscal da previdência social;3352 - Government Tax and Excise Officials;2542;236
0;9152;;;9152;225
0;6134;;;6134;164
0;3764;;;3764;152
0;2619;;;2619;151
0;6311;;;6311;100
0;9154;;;9154;75
0;6127;;;6127;66
0;6126;;;6126;60
0;5169;;;5169;60
0;6128;;;6128;30
Gradiente 2;2514;Pesquisadores sociais (Sociólogos, Antropólogos) e Filósofos;2632 / 2633 - Sociologists / Philosophers;2514;20
0;5168;;;5168;20
0;2261;;;2261;17
0;6122;;;6122;5
0;5198;;;5198;2
0;5167;;;5167;1
