sigla_uf,codigo_cbo_4,total_vinculos_ativos
AC,766235,5
AC,213405,2
AC,721325,4
AC,239435,3
AC,212305,3
AC,724305,1
AC,225106,1
AC,351720,1
AC,391230,2
AC,516325,1
AC,325015,1
AC,841720,1
AC,341315,2
AC,391105,1
AC,351705,1
AC,376305,1
AC,915215,1
AC,717020,3703
AC,732105,84
AC,242305,135
AC,517320,1089
AC,252205,107
AC,225250,67
AC,254405,103
AC,914405,784
AC,521105,403
AC,331105,277
AC,111415,2035
AC,239405,244
AC,623110,1662
AC,517410,1432
AC,732130,197
AC,784120,42
AC,715115,257
AC,519110,1046
AC,911205,142
AC,784105,311
AC,415210,21
AC,731170,9
AC,332105,1794
AC,322405,110
AC,613005,29
AC,914425,155
AC,322505,19
AC,251605,553
AC,324115,294
AC,239205,19
AC,317205,108
AC,351420,172
AC,111505,735
AC,716610,290
AC,620105,44
AC,520105,49
AC,212310,8
AC,223212,32
AC,223905,37
AC,242235,74
AC,354205,114
AC,722105,40
AC,421310,57
AC,514110,117
AC,325210,23
AC,251205,42
AC,142310,17
AC,782815,19
AC,623120,11
AC,415105,45
AC,991310,26
AC,623305,6
AC,712120,15
AC,141605,33
AC,513305,4
AC,224140,36
AC,741110,4
AC,313505,27
AC,262215,3
AC,395110,14
AC,723320,51
AC,725105,9
AC,351310,11
AC,142140,1
AC,811115,1
AC,234624,15
AC,622610,28
AC,21205,19
AC,142530,29
AC,516110,31
AC,253405,35
AC,954105,8
AC,374405,19
AC,214310,2
AC,373220,17
AC,841810,51
AC,342315,72
AC,623310,3
AC,716405,37
AC,773340,5
AC,322225,9
AC,524305,9
AC,225155,2
AC,241010,16
AC,514305,4
AC,232170,6
AC,782725,2
AC,731130,3
AC,768625,7
AC,353235,4
AC,516120,6
AC,252605,4
AC,715540,3
AC,862160,18
AC,141405,7
AC,374305,3
AC,234205,1
AC,512110,9
AC,721310,2
AC,354305,1
AC,223660,3
AC,371310,6
AC,233120,1
AC,517115,6
AC,131110,6
AC,142605,5
AC,861115,11
AC,311715,16
AC,232125,9
AC,410230,11
AC,234120,1
AC,214905,2
AC,373225,2
AC,225260,4
